patch_name,r,g,b
gray_000,0.0,0.0,0.0
gray_001,0.00392156862745098,0.00392156862745098,0.00392156862745098
gray_002,0.00784313725490196,0.00784313725490196,0.00784313725490196
gray_004,0.01568627450980392,0.01568627450980392,0.01568627450980392
gray_008,0.03137254901960784,0.03137254901960784,0.03137254901960784
gray_012,0.047058823529411764,0.047058823529411764,0.047058823529411764
gray_016,0.06274509803921569,0.06274509803921569,0.06274509803921569
gray_024,0.09411764705882353,0.09411764705882353,0.09411764705882353
gray_032,0.12549019607843137,0.12549019607843137,0.12549019607843137
gray_048,0.18823529411764706,0.18823529411764706,0.18823529411764706
gray_064,0.25098039215686274,0.25098039215686274,0.25098039215686274
gray_096,0.3764705882352941,0.3764705882352941,0.3764705882352941
gray_128,0.5019607843137255,0.5019607843137255,0.5019607843137255
gray_160,0.6274509803921569,0.6274509803921569,0.6274509803921569
gray_192,0.7529411764705882,0.7529411764705882,0.7529411764705882
gray_224,0.8784313725490196,0.8784313725490196,0.8784313725490196
gray_255,1.0,1.0,1.0
red,1,0,0
green,0,1,0
blue,0,0,1
cyan,0,1,1
magenta,1,0,1
yellow,1,1,0
white,1,1,1
black,0,0,0
skin_approx_1,0.72,0.48,0.36
skin_approx_2,0.58,0.36,0.28
