patch_name,r,g,b
black,0,0,0
gray_016,0.0627451,0.0627451,0.0627451
gray_048,0.1882353,0.1882353,0.1882353
gray_080,0.3137255,0.3137255,0.3137255
gray_128,0.5019608,0.5019608,0.5019608
gray_176,0.6901961,0.6901961,0.6901961
gray_224,0.8784314,0.8784314,0.8784314
white,1,1,1
red,1,0,0
green,0,1,0
blue,0,0,1
yellow,1,1,0
cyan,0,1,1
magenta,1,0,1
red50,0.5019608,0,0
green50,0,0.5019608,0
blue50,0,0,0.5019608
yellow50,0.5019608,0.5019608,0
cyan50,0,0.5019608,0.5019608
magenta50,0.5019608,0,0.5019608
red_pastel,1,0.5019608,0.5019608
green_pastel,0.5019608,1,0.5019608
blue_pastel,0.5019608,0.5019608,1
skin_1,0.72,0.48,0.36
skin_2,0.58,0.36,0.28
skin_light,0.94,0.78,0.68
sky,0.4,0.6,0.9
foliage,0.3,0.5,0.2
orange,0.9,0.55,0.15
mix_753,0.75,0.5,0.25
